127.0.0.1, 2019-01-26 16:46:26, GET, /init/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.000941
127.0.0.1, 2019-01-26 16:46:26, GET, /init/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001003
127.0.0.1, 2019-01-26 16:47:00, GET, /init/default/student, HTTP/1.1, 200, 0.021354
127.0.0.1, 2019-01-26 16:47:00, GET, /init/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002430
127.0.0.1, 2019-01-26 16:47:00, GET, /init/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.002169
127.0.0.1, 2019-01-26 16:47:00, GET, /init/static/js/jquery.js, HTTP/1.1, 200, 0.002661
127.0.0.1, 2019-01-26 16:48:00, GET, /init/default/student, HTTP/1.1, 200, 0.020915
127.0.0.1, 2019-01-26 16:48:00, GET, /init/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000691
127.0.0.1, 2019-01-26 16:48:00, GET, /init/static/js/jquery.js, HTTP/1.1, 200, 0.002297
127.0.0.1, 2019-01-26 16:48:00, GET, /init/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.005189
127.0.0.1, 2019-01-26 16:49:52, GET, /init/default/student, HTTP/1.1, 200, 0.019171
127.0.0.1, 2019-01-26 16:49:52, GET, /init/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000880
127.0.0.1, 2019-01-26 16:49:52, GET, /init/static/js/jquery.js, HTTP/1.1, 200, 0.001058
127.0.0.1, 2019-01-26 16:49:52, GET, /init/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.002546
127.0.0.1, 2019-01-26 16:50:37, GET, /init/default/student, HTTP/1.1, 200, 0.022178
127.0.0.1, 2019-01-26 16:50:37, GET, /init/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001277
127.0.0.1, 2019-01-26 16:50:37, GET, /init/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.001425
127.0.0.1, 2019-01-26 16:50:37, GET, /init/static/js/jquery.js, HTTP/1.1, 200, 0.003578
127.0.0.1, 2019-01-26 16:50:59, GET, /init/default/student, HTTP/1.1, 200, 0.029633
127.0.0.1, 2019-01-26 16:50:59, GET, /init/static/js/jquery.js, HTTP/1.1, 200, 0.002393
127.0.0.1, 2019-01-26 16:50:59, GET, /init/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.002255
127.0.0.1, 2019-01-26 16:50:59, GET, /init/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.007421
127.0.0.1, 2019-01-26 16:50:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000851
127.0.0.1, 2019-01-26 16:51:23, POST, /init/default/student, HTTP/1.1, 200, 0.023740
127.0.0.1, 2019-01-26 16:51:23, GET, /init/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001930
127.0.0.1, 2019-01-26 16:51:23, GET, /init/static/js/jquery.js, HTTP/1.1, 200, 0.001236
